configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,permuation_order_1,permuation_order_2,permuation_order_3,permuation_order_4,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
alexnet_permute_matmul_1_0123,1,1,9216,1,9216,4096,1,1,4096,0,1,2,3,1,1,128,1,128,128,1,1,128,2304.0,317721600.0,0.00415,32699.0,3.177216,0.023762,5.725783,0.0131854464,75497472
alexnet_permute_matmul_1_0132,1,1,9216,1,9216,4096,1,1,4096,0,1,3,2,1,1,128,1,128,128,1,1,128,2304.0,355175424.0,0.00398,32030.0,3.551754,0.021256,5.340704,0.01413598092,75497472
alexnet_permute_matmul_1_0213,1,1,9216,1,9216,4096,1,1,4096,0,2,1,3,1,1,128,1,128,128,1,1,128,2304.0,317721600.0,0.00408,32329.0,3.177216,0.023762,5.82402,0.01296304128,75497472
alexnet_permute_matmul_1_0231,1,1,9216,1,9216,4096,1,1,4096,0,3,1,2,1,1,128,1,128,128,1,1,128,2304.0,317721600.0,0.00415,32699.0,3.177216,0.023762,5.725783,0.0131854464,75497472
alexnet_permute_matmul_1_0312,1,1,9216,1,9216,4096,1,1,4096,0,2,3,1,1,1,128,1,128,128,1,1,128,2304.0,355175424.0,0.00398,32030.0,3.551754,0.021256,5.340704,0.01413598092,75497472
alexnet_permute_matmul_1_0321,1,1,9216,1,9216,4096,1,1,4096,0,3,2,1,1,1,128,1,128,128,1,1,128,2304.0,355175424.0,0.00398,32030.0,3.551754,0.021256,5.340704,0.01413598092,75497472
alexnet_permute_matmul_2_0123,1,1,4096,1,4096,4096,1,1,4096,0,1,2,3,1,1,128,1,128,128,1,1,128,1024.0,141209600.0,0.00415,32699.0,1.412096,0.023762,5.725783,0.0058601984,33554432
alexnet_permute_matmul_2_0132,1,1,4096,1,4096,4096,1,1,4096,0,1,3,2,1,1,128,1,128,128,1,1,128,1024.0,157855744.0,0.00396,32009.0,1.578557,0.021256,5.367677,0.00625108572,33554432
alexnet_permute_matmul_2_0213,1,1,4096,1,4096,4096,1,1,4096,0,2,1,3,1,1,128,1,128,128,1,1,128,1024.0,141209600.0,0.00415,32699.0,1.412096,0.023762,5.725783,0.0058601984,33554432
alexnet_permute_matmul_2_0231,1,1,4096,1,4096,4096,1,1,4096,0,3,1,2,1,1,128,1,128,128,1,1,128,1024.0,141209600.0,0.00414,32614.0,1.412096,0.023762,5.739614,0.00584607744,33554432
alexnet_permute_matmul_2_0312,1,1,4096,1,4096,4096,1,1,4096,0,2,3,1,1,1,128,1,128,128,1,1,128,1024.0,157855744.0,0.00396,32002.0,1.578557,0.021256,5.367677,0.00625108572,33554432
alexnet_permute_matmul_2_0321,1,1,4096,1,4096,4096,1,1,4096,0,3,2,1,1,1,128,1,128,128,1,1,128,1024.0,157855744.0,0.00398,32030.0,1.578557,0.021256,5.340704,0.00628265686,33554432
alexnet_permute_matmul_3_0123,1,1,4096,1,4096,1000,1,1,1000,0,1,2,3,1,1,128,1,128,125,1,1,125,256.0,34488320.0,0.00432,34610.0,0.344883,0.023753,5.49838,0.00148989456,8192000
alexnet_permute_matmul_3_0132,1,1,4096,1,4096,1000,1,1,1000,0,1,3,2,1,1,128,1,128,125,1,1,125,256.0,38554624.0,0.00409,34459.0,0.385546,0.021248,5.19511,0.00157688314,8192000
alexnet_permute_matmul_3_0213,1,1,4096,1,4096,1000,1,1,1000,0,2,1,3,1,1,128,1,128,125,1,1,125,256.0,34488320.0,0.00432,34610.0,0.344883,0.023753,5.49838,0.00148989456,8192000
alexnet_permute_matmul_3_0231,1,1,4096,1,4096,1000,1,1,1000,0,3,1,2,1,1,128,1,128,125,1,1,125,256.0,34488320.0,0.00434,34637.0,0.344883,0.023753,5.473041,0.00149679222,8192000
alexnet_permute_matmul_3_0312,1,1,4096,1,4096,1000,1,1,1000,0,2,3,1,1,1,128,1,128,125,1,1,125,256.0,38554624.0,0.00407,34403.0,0.385546,0.021248,5.220639,0.00156917222,8192000
alexnet_permute_matmul_3_0321,1,1,4096,1,4096,1000,1,1,1000,0,3,2,1,1,1,128,1,128,125,1,1,125,256.0,38554624.0,0.00409,34459.0,0.385546,0.021248,5.19511,0.00157688314,8192000
