configuration,input_batch,input_width,input_height,weight_batch,weight_width,weight_height,output_batch,output_width,output_height,unroll_full,unroll_factor,actual_input_batch,actual_input_width,actual_input_height,actual_weight_batch,actual_weight_width,actual_weight_height,actual_output_batch,actual_output_width,actual_output_height,number_of_tiles,simulation_cycles,total_power,area,runtime_in_s,gflops,gflops_per_watt,energy_consumed,flop_count
resnet18_unroll_matmul_1_unroll_0_factor_0,1,1,512,1,512,1000,1,1,1000,0,0,1,1,32,1,32,25,1,1,25,640.0,2113280.0,0.00167,13557.0,0.021133,0.048455,29.01497,3.529211e-05,1024000
resnet18_unroll_matmul_1_unroll_1_factor_4,1,1,512,1,512,1000,1,1,1000,1,4,1,1,32,1,32,25,1,1,25,640.0,1605760.0,0.00898,73077.0,0.016058,0.063769,7.101225,0.00014420084,1024000
resnet18_unroll_matmul_1_unroll_1_factor_8,1,1,512,1,512,1000,1,1,1000,1,8,1,1,32,1,32,25,1,1,25,640.0,1605760.0,0.00925,73736.0,0.016058,0.063769,6.893946,0.0001485365,1024000
resnet18_unroll_matmul_1_unroll_1_factor_16,1,1,512,1,512,1000,1,1,1000,1,16,1,1,32,1,32,25,1,1,25,640.0,1605760.0,0.00941,74276.0,0.016058,0.063769,6.776727,0.00015110578,1024000
resnet18_unroll_matmul_1_unroll_1_factor_0,1,1,512,1,512,1000,1,1,1000,1,0,1,1,32,1,32,25,1,1,25,640.0,1605760.0,0.00927,73818.0,0.016058,0.063769,6.879072,0.00014885766,1024000
resnet18_unroll_matmul_1_unroll_2_factor_4,1,1,512,1,512,1000,1,1,1000,2,4,1,1,32,1,32,25,1,1,25,640.0,865280.0,0.0305,234438.0,0.008653,0.11834,3.88,0.0002639165,1024000
resnet18_unroll_matmul_1_unroll_2_factor_8,1,1,512,1,512,1000,1,1,1000,2,8,1,1,32,1,32,25,1,1,25,640.0,742400.0,0.0489,380092.0,0.007424,0.137931,2.820675,0.0003630336,1024000
resnet18_unroll_matmul_1_unroll_2_factor_16,1,1,512,1,512,1000,1,1,1000,2,16,1,1,32,1,32,25,1,1,25,640.0,995200.0,0.0897,645245.0,0.009952,0.102894,1.14709,0.0008926944,1024000
resnet18_unroll_matmul_1_unroll_2_factor_0,1,1,512,1,512,1000,1,1,1000,2,0,1,1,32,1,32,25,1,1,25,640.0,598400.0,0.134,914122.0,0.005984,0.171123,1.277037,0.000801856,1024000
